Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,4096,True,2.34,15.6
HP,Pavilion 15,Intel i5-14600H,NVIDIA RTX 4050,32,1024,True,2.34,16.0
Lenovo,Legion 5,Intel i7-14700H,NVIDIA RTX 4060,64,512,False,1.57,15.6
HP,Envy 13,Intel i9-14900HK,NVIDIA RTX 4070,64,256,True,2.97,17.3
Microsoft,Surface Laptop 5,Intel i7-14700H,NVIDIA RTX 4060,16,512,True,3.06,18.4
HP,Envy 13,Intel i5-14500H,NVIDIA RTX 3050,128,2048,True,1.87,15.6
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.54,16.0
Microsoft,Surface Laptop 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,1024,True,1.62,16.0
Dell,Inspiron 15,Intel i5-14500H,Intel Iris Xe,128,4096,True,1.22,14.0
Lenovo,IdeaPad 5,Intel i7-14800H,NVIDIA RTX 4080,32,512,True,3.2,18.4
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,2048,False,3.06,18.4
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,2048,False,1.35,14.0
Microsoft,Surface Book 3,Intel i5-14600H,NVIDIA RTX 3050,8,512,False,2.48,16.0
Microsoft,Surface Laptop 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,2048,False,2.75,17.3
Lenovo,ThinkBook 14s,Intel i5-14600H,Intel Iris Xe,32,2048,True,1.04,14.0
Asus,ROG Zephyrus G15,AMD Ryzen 7 8800H,AMD Radeon 780M,8,256,False,1.63,15.6
Lenovo,Yoga Slim 7,Intel i7-14800H,NVIDIA RTX 4080,128,256,True,2.25,15.6
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,128,1024,False,1.77,16.0
Microsoft,Surface Book 3,AMD Ryzen 7 8800H,AMD Radeon 780M,32,256,False,2.72,18.4
Lenovo,ThinkBook 14s,AMD Ryzen 7 8800H,AMD Radeon 780M,128,2048,False,1.33,13.3
Asus,ZenBook 14,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,1024,True,2.33,15.6
Lenovo,ThinkBook 14s,Intel i5-14500H,NVIDIA RTX 4050,128,1024,True,1.09,13.3
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,AMD Radeon 780M,32,1024,False,2.06,16.0
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,256,True,1.21,13.3
Microsoft,Surface Laptop Studio,Intel i9-14900HK,NVIDIA RTX 4070,128,512,False,1.43,13.3
Acer,Nitro 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,2048,False,1.34,14.0
HP,Omen 15,Intel i7-14700H,NVIDIA RTX 4070,128,2048,False,2.69,17.3
Asus,ZenBook 14,Intel i5-14500H,NVIDIA RTX 4050,128,4096,True,1.61,15.6
Microsoft,Surface Laptop Studio,Intel i5-14600H,NVIDIA RTX 4050,32,512,False,1.96,15.6
HP,Pavilion 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,2048,True,1.41,14.0
Asus,ROG Zephyrus G15,Intel i5-14500H,NVIDIA RTX 3050,64,1024,False,2.63,18.4
Microsoft,Surface Go 3,Intel i5-14500H,NVIDIA RTX 4050,32,256,False,1.96,16.0
Dell,XPS 15,AMD Ryzen 7 8800H,AMD Radeon 780M,64,4096,False,2.87,18.4
HP,Envy 13,Intel i9-14900HK,NVIDIA RTX 4070,8,4096,False,3.47,18.4
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,2048,False,2.98,18.4
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,512,True,1.46,14.0
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,256,True,3.32,18.4
Microsoft,Surface Book 3,Intel i7-14800H,NVIDIA RTX 4080,16,256,True,1.59,15.6
Asus,VivoBook S15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,256,False,2.21,15.6
Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,8,512,False,2.44,16.0
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,4096,True,1.18,13.3
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,512,False,2.01,16.0
Dell,XPS 13,Intel i5-14500H,Intel Iris Xe,64,1024,False,1.35,13.3
Lenovo,Legion 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,8,4096,True,2.89,18.4
Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,8,256,True,1.05,14.0
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,64,256,False,2.02,15.6
Dell,Latitude 7420,Intel i9-14900HK,NVIDIA RTX 4080,128,256,False,2.91,17.3
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,8,1024,False,1.22,14.0
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,2048,True,2.56,18.4
Asus,TUF Gaming F15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,8,256,False,1.35,13.3
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,True,2.84,18.4
Microsoft,Surface Book 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,256,True,3.3,17.3
Lenovo,ThinkBook 14s,Intel i5-14600H,NVIDIA RTX 4050,32,1024,False,2.49,16.0
Microsoft,Surface Book 3,Intel i7-14700H,NVIDIA RTX 4070,32,4096,True,2.8,18.4
Dell,XPS 15,Intel i7-14700H,NVIDIA RTX 4060,32,2048,True,1.3,13.3
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4070,64,2048,False,3.0,17.3
HP,Envy 13,Intel i7-14700H,NVIDIA RTX 4070,8,512,False,3.43,18.4
Microsoft,Surface Book 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,512,False,2.21,15.6
Microsoft,Surface Laptop Studio,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,1024,False,2.65,17.3
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,32,256,False,3.34,17.3
Lenovo,Yoga Slim 7,Intel i9-14900HK,NVIDIA RTX 4080,64,1024,True,1.46,13.3
Dell,Latitude 7420,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,2048,False,1.15,13.3
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,32,512,False,2.56,18.4
Asus,ZenBook 14,AMD Ryzen 9 8900HX,AMD Radeon 780M,16,512,True,1.18,13.3
Dell,XPS 13,Intel i5-14500H,Intel Iris Xe,8,1024,True,2.03,16.0
Microsoft,Surface Book 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,16,256,True,2.45,15.6
Lenovo,Yoga Slim 7,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,True,2.69,18.4
Dell,Inspiron 15,Intel i7-14700H,NVIDIA RTX 4060,8,1024,True,2.07,16.0
HP,Pavilion 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,256,False,1.12,14.0
Dell,Alienware M15,Intel Core Ultra 7 15500H,Intel Arc A750M,8,512,False,2.9,18.4
Dell,XPS 15,Intel i5-14600H,NVIDIA RTX 3050,16,2048,True,1.15,14.0
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,False,2.33,15.6
Microsoft,Surface Laptop Studio,AMD Ryzen 7 8800H,AMD Radeon 780M,64,256,True,1.61,15.6
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,128,256,True,1.0,14.0
HP,EliteBook 840,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,8,1024,True,2.92,17.3
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,False,1.15,13.3
Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,2.63,17.3
HP,Spectre x360,Intel i7-14700H,NVIDIA RTX 4060,8,1024,False,1.26,14.0
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,64,256,True,2.75,17.3
Lenovo,ThinkBook 14s,Intel i5-14600H,NVIDIA RTX 3050,16,4096,False,1.52,15.6
HP,Envy 13,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,512,True,1.49,14.0
Lenovo,Yoga Slim 7,Intel i7-14800H,NVIDIA RTX 4080,64,4096,True,2.79,18.4
Asus,ROG Zephyrus G15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,16,4096,True,2.24,15.6
Asus,VivoBook S15,Intel i7-14800H,NVIDIA RTX 4080,16,512,False,2.2,15.6
Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,256,True,2.91,17.3
Lenovo,IdeaPad 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,1024,True,1.21,13.3
Dell,XPS 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,4096,True,1.43,14.0
Dell,Alienware M15,Intel i9-14900HK,NVIDIA RTX 4080,64,512,False,3.0,18.4
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,Intel Arc A750M,64,256,True,1.43,13.3
Microsoft,Surface Pro 8,Intel i5-14500H,NVIDIA RTX 3050,8,256,False,1.37,13.3
Microsoft,Surface Go 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,32,1024,False,2.06,15.6
Lenovo,Legion 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,256,False,2.04,16.0
Dell,XPS 15,Intel Core Ultra 7 15500H,Intel Arc A750M,16,512,True,2.57,17.3
Dell,XPS 13,Intel i5-14600H,NVIDIA RTX 4050,128,256,False,2.66,17.3
Dell,Alienware M15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,256,True,1.34,14.0
Dell,XPS 13,AMD Ryzen 7 8800H,NVIDIA RTX 4060,16,256,False,1.48,13.3
Microsoft,Surface Laptop Studio,Intel i7-14700H,NVIDIA RTX 4060,32,512,False,1.45,13.3
Dell,XPS 13,Intel i7-14800H,NVIDIA RTX 4080,128,2048,True,2.21,15.6
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,True,1.29,13.3
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4060,8,4096,False,2.7,17.3
HP,Pavilion 15,Intel i9-14900HK,NVIDIA RTX 4080,8,512,False,2.45,15.6
Dell,Inspiron 15,Intel i7-14700H,NVIDIA RTX 4060,16,512,True,1.04,14.0
Dell,XPS 15,Intel i5-14600H,NVIDIA RTX 3050,128,4096,True,2.68,17.3
Dell,XPS 15,Intel i9-14900HK,NVIDIA RTX 4080,16,1024,False,1.39,13.3
Lenovo,ThinkBook 14s,Intel i5-14500H,NVIDIA RTX 4050,16,4096,False,1.43,13.3
Microsoft,Surface Book 3,Intel i5-14600H,NVIDIA RTX 4050,16,512,True,2.03,16.0
Asus,ZenBook 14,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,512,True,2.39,16.0
HP,Omen 15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,256,True,2.74,17.3
Microsoft,Surface Laptop 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,16,512,False,1.07,13.3
HP,Pavilion 15,Intel i7-14800H,NVIDIA RTX 4070,32,256,True,3.18,17.3
HP,EliteBook 840,Intel i7-14800H,NVIDIA RTX 4080,64,4096,True,3.32,17.3
HP,Envy 13,Intel i5-14500H,NVIDIA RTX 3050,8,2048,True,1.42,14.0
HP,Omen 15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,4096,False,1.17,13.3
Lenovo,ThinkPad X1 Carbon,Intel i7-14700H,NVIDIA RTX 4070,128,1024,True,1.36,13.3
Dell,Inspiron 15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,32,1024,True,2.04,15.6
Dell,XPS 15,Intel i7-14700H,NVIDIA RTX 4070,8,4096,False,1.54,15.6
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,4096,False,1.44,13.3
Asus,ROG Zephyrus G15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,4096,False,1.41,13.3
Lenovo,ThinkPad X1 Carbon,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,1024,True,1.28,14.0
Asus,VivoBook S15,Intel i5-14500H,NVIDIA RTX 4050,32,1024,True,2.58,17.3
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,8,1024,True,1.31,13.3
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,256,False,1.4,14.0
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,64,2048,True,1.49,13.3
HP,Spectre x360,Intel i7-14800H,NVIDIA RTX 4070,32,4096,False,2.81,17.3
Lenovo,Yoga Slim 7,Intel i7-14700H,NVIDIA RTX 4060,64,512,True,2.98,17.3
Dell,Alienware M15,Intel i5-14600H,NVIDIA RTX 3050,8,256,False,1.2,13.3
Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 4050,16,512,False,3.48,18.4
Dell,Alienware M15,Intel i5-14600H,NVIDIA RTX 4050,128,512,False,1.01,13.3
Lenovo,ThinkBook 14s,Intel i9-14900HK,NVIDIA RTX 4070,128,1024,False,1.01,14.0
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,4096,False,3.01,17.3
Lenovo,ThinkPad X1 Carbon,Intel i9-14900HK,NVIDIA RTX 4070,8,512,False,1.69,16.0
Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,64,1024,True,2.51,18.4
Lenovo,ThinkBook 14s,Intel i5-14500H,Intel Iris Xe,16,256,True,1.37,13.3
HP,Envy 13,Intel i7-14800H,NVIDIA RTX 4080,128,256,True,3.18,17.3
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,256,False,1.56,16.0
Asus,VivoBook S15,Intel i5-14500H,NVIDIA RTX 3050,16,512,False,1.35,14.0
Lenovo,Yoga Slim 7,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,16,4096,False,2.82,17.3
HP,EliteBook 840,Intel i7-14800H,NVIDIA RTX 4070,128,512,True,1.35,13.3
Microsoft,Surface Laptop 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,4096,True,1.64,16.0
HP,Pavilion 15,Intel i7-14800H,NVIDIA RTX 4060,32,4096,False,2.53,17.3
Dell,Latitude 7420,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,16,256,False,1.45,13.3
Dell,XPS 15,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,False,1.31,13.3
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,2048,True,3.23,18.4
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4070,32,4096,True,1.66,15.6
Dell,Alienware M15,Intel i7-14700H,NVIDIA RTX 4060,32,512,False,1.05,14.0
Dell,Inspiron 15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,4096,False,1.2,14.0
HP,Envy 13,Intel i5-14600H,Intel Iris Xe,8,4096,True,3.27,18.4
Microsoft,Surface Laptop 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,8,1024,False,2.94,18.4
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,2.36,15.6
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,AMD Radeon 780M,128,4096,False,1.12,14.0
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,256,False,2.73,17.3
Asus,ZenBook 14,Intel i7-14700H,NVIDIA RTX 4060,16,256,False,3.12,18.4
Microsoft,Surface Pro 8,Intel i9-14900HK,NVIDIA RTX 4080,32,2048,False,1.09,14.0
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,2.43,15.6
Asus,ZenBook 14,Intel Core Ultra 9 15700H,Intel Arc A750M,128,2048,False,2.68,17.3
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,64,4096,False,2.23,15.6
Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,512,False,3.18,17.3
Dell,Alienware M15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,512,False,2.66,18.4
Asus,TUF Gaming F15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,2048,True,1.1,14.0
Acer,Aspire 5,Intel i5-14600H,NVIDIA RTX 3050,128,4096,True,1.1,13.3
Dell,Latitude 7420,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,False,2.56,17.3
HP,Envy 13,AMD Ryzen 7 8800H,NVIDIA RTX 4060,128,1024,False,3.05,17.3
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,64,256,True,1.92,15.6
Dell,Inspiron 15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,True,1.43,13.3
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,16,4096,True,1.23,13.3
Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,1024,False,1.59,15.6
Lenovo,ThinkBook 14s,Intel Core Ultra 7 15500H,Intel Arc A750M,16,512,True,1.55,16.0
Asus,VivoBook S15,Intel i5-14600H,Intel Iris Xe,128,2048,False,2.5,18.4
Dell,Alienware M15,Intel Core Ultra 9 15700H,Intel Arc A750M,8,1024,False,2.0,16.0
Microsoft,Surface Laptop Studio,Intel i9-14900HK,NVIDIA RTX 4080,8,2048,False,2.28,16.0
Acer,Swift 3,AMD Ryzen 5 8600H,AMD Radeon 680M,128,2048,False,2.39,16.0
Lenovo,ThinkPad X1 Carbon,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,32,4096,True,1.24,13.3
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,64,2048,False,1.18,13.3
Acer,Predator Helios 300,Intel i5-14600H,Intel Iris Xe,32,256,False,1.09,14.0
Acer,TravelMate P6,Intel i9-14900HK,NVIDIA RTX 4080,128,1024,True,1.11,13.3
Lenovo,ThinkPad X1 Carbon,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,4096,False,3.3,17.3
Dell,XPS 15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,32,2048,True,1.09,13.3
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,2048,False,1.97,15.6
Microsoft,Surface Book 3,Intel i9-14900HK,NVIDIA RTX 4070,64,256,True,1.18,13.3
Lenovo,Yoga Slim 7,Intel i5-14500H,NVIDIA RTX 4050,8,512,False,1.48,13.3
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,512,False,3.05,18.4
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,False,1.38,14.0
Lenovo,Legion 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,4096,True,1.64,15.6
Asus,ZenBook 14,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,2048,True,1.25,13.3
Asus,ZenBook 14,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,4096,True,1.51,15.6
Microsoft,Surface Laptop 5,Intel i5-14600H,NVIDIA RTX 3050,32,512,True,2.57,17.3
Dell,Alienware M15,Intel i7-14800H,NVIDIA RTX 4070,8,2048,True,1.16,14.0
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,128,2048,True,1.49,13.3
Microsoft,Surface Laptop 5,Intel i7-14800H,NVIDIA RTX 4060,128,512,False,1.36,14.0
Lenovo,ThinkBook 14s,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,256,True,1.86,16.0
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4070,64,512,True,1.17,14.0
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,1024,False,1.35,14.0
Lenovo,IdeaPad 5,Intel i5-14600H,NVIDIA RTX 4050,32,2048,False,1.34,13.3
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,1024,False,1.86,15.6
HP,Envy 13,Intel i7-14700H,NVIDIA RTX 4070,16,4096,True,3.03,18.4
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,512,True,1.42,14.0
Dell,Alienware M15,Intel i5-14600H,NVIDIA RTX 3050,128,256,True,2.16,16.0
Dell,Latitude 7420,Intel Core Ultra 9 15700H,Intel Arc A750M,16,1024,False,1.29,14.0
Lenovo,ThinkBook 14s,Intel i9-14900HK,NVIDIA RTX 4070,8,512,False,3.1,17.3
