Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch
Microsoft,Surface Book 3,AMD Ryzen 5 8600H,AMD Radeon 680M,64,4096,True,3.13,18.4
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,4096,False,1.02,14.0
Dell,Latitude 7420,Intel i7-14700H,NVIDIA RTX 4060,64,256,True,2.37,15.6
HP,Envy 13,Intel i7-14800H,NVIDIA RTX 4060,8,512,False,1.78,15.6
HP,Omen 15,Intel Core Ultra 9 15700H,Intel Arc A750M,16,256,True,2.02,16.0
HP,Pavilion 15,Intel i5-14500H,Intel Iris Xe,32,4096,True,2.64,17.3
Lenovo,Yoga Slim 7,Intel i5-14500H,Intel Iris Xe,16,512,False,2.47,15.6
Microsoft,Surface Book 3,Intel i7-14700H,NVIDIA RTX 4070,128,2048,True,1.94,16.0
Asus,VivoBook S15,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,4096,True,2.65,18.4
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,32,512,False,2.4,16.0
Dell,XPS 15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,256,False,1.37,13.3
HP,Spectre x360,Intel i7-14800H,NVIDIA RTX 4060,16,4096,True,1.6,16.0
Microsoft,Surface Book 3,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,1024,True,3.14,17.3
Lenovo,Legion 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,512,True,2.01,16.0
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,256,False,2.86,17.3
Lenovo,ThinkPad X1 Carbon,Intel i5-14500H,NVIDIA RTX 3050,128,512,False,1.8,15.6
Lenovo,ThinkPad X1 Carbon,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,1024,True,1.34,13.3
Lenovo,Legion 5,Intel i5-14600H,Intel Iris Xe,32,2048,False,1.47,13.3
Microsoft,Surface Go 3,Intel i5-14600H,NVIDIA RTX 3050,32,4096,True,1.06,13.3
HP,Omen 15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,128,256,True,2.67,17.3
Dell,Latitude 7420,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,512,False,2.29,16.0
Acer,Swift 3,Intel Core Ultra 9 15700H,Intel Arc A750M,64,2048,True,2.27,15.6
Lenovo,Legion 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,2048,False,1.89,15.6
Dell,Alienware M15,Intel Core Ultra 9 15700H,Intel Arc A750M,32,2048,True,2.89,17.3
HP,Pavilion 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,1024,True,2.27,15.6
Dell,Inspiron 15,Intel i5-14500H,NVIDIA RTX 3050,64,512,False,2.31,16.0
Dell,XPS 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,512,True,2.14,15.6
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,1024,True,3.15,18.4
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,1024,False,3.11,17.3
HP,Omen 15,Intel i5-14600H,NVIDIA RTX 3050,16,2048,False,3.46,18.4
Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,32,256,True,1.67,15.6
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,4096,False,1.92,16.0
Dell,Alienware M15,Intel Core Ultra 7 15500H,Intel Arc A750M,32,4096,False,1.23,14.0
Dell,Alienware M15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,True,3.34,18.4
Dell,XPS 15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,32,2048,False,1.87,16.0
Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 3050,128,256,True,1.24,13.3
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,2048,True,1.6,16.0
Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,256,True,2.39,16.0
Dell,Latitude 7420,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,4096,True,2.46,16.0
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,256,True,2.46,16.0
HP,Omen 15,Intel Core Ultra 7 15500H,Intel Arc A750M,32,512,True,2.57,18.4
Asus,VivoBook S15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,1024,False,1.45,13.3
HP,Spectre x360,Intel i7-14700H,NVIDIA RTX 4070,16,256,True,1.64,15.6
Microsoft,Surface Go 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,512,False,1.75,16.0
Lenovo,Yoga Slim 7,Intel i5-14600H,Intel Iris Xe,32,2048,False,1.65,16.0
HP,Envy 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,64,512,True,2.08,16.0
HP,Spectre x360,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,1024,True,3.14,18.4
HP,Envy 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,4096,False,1.26,13.3
Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,True,1.32,13.3
Lenovo,ThinkBook 14s,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,2048,False,2.12,16.0
Lenovo,ThinkPad X1 Carbon,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,256,False,2.73,18.4
HP,Envy 13,Intel i7-14700H,NVIDIA RTX 4060,32,2048,True,1.65,16.0
Microsoft,Surface Pro 8,Intel i9-14900HK,NVIDIA RTX 4070,128,4096,True,3.27,18.4
Dell,XPS 13,Intel Core Ultra 9 15700H,Intel Arc A750M,8,4096,True,3.07,17.3
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,4096,True,2.24,16.0
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,32,1024,True,1.17,14.0
HP,Omen 15,AMD Ryzen 7 8800H,NVIDIA RTX 4060,128,512,False,2.84,17.3
Microsoft,Surface Laptop Studio,Intel i7-14800H,NVIDIA RTX 4080,64,512,True,1.24,14.0
Lenovo,Yoga Slim 7,Intel Core Ultra 7 15500H,Intel Arc A750M,64,2048,True,1.21,13.3
Dell,Alienware M15,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,1.47,14.0
Dell,Latitude 7420,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,False,3.49,17.3
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,256,False,1.12,13.3
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,3.48,18.4
HP,Omen 15,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,1024,False,2.14,16.0
Microsoft,Surface Go 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,4096,True,3.0,18.4
Dell,XPS 15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,2048,True,2.49,16.0
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,256,True,2.39,16.0
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,False,1.32,13.3
Dell,XPS 15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,256,False,1.45,13.3
HP,Envy 13,Intel Core Ultra 7 15500H,Intel Arc A750M,64,2048,False,1.97,16.0
Dell,Alienware M15,Intel i5-14500H,NVIDIA RTX 3050,32,1024,False,2.45,16.0
Dell,Inspiron 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,4096,False,1.17,13.3
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,512,False,1.19,13.3
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,AMD Radeon 780M,8,4096,True,2.81,17.3
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,512,False,1.47,14.0
Asus,ExpertBook B9,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,256,True,2.88,17.3
Microsoft,Surface Book 3,Intel i9-14900HK,NVIDIA RTX 4070,16,1024,False,1.09,13.3
Microsoft,Surface Laptop Studio,Intel i7-14800H,NVIDIA RTX 4080,64,256,False,1.94,15.6
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,NVIDIA RTX 4070,32,512,False,2.11,16.0
HP,Omen 15,Intel i5-14500H,NVIDIA RTX 3050,128,1024,True,2.57,17.3
HP,Omen 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,64,512,True,3.31,18.4
HP,EliteBook 840,Intel i5-14500H,Intel Iris Xe,128,4096,False,1.38,14.0
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,True,3.15,17.3
Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,1024,True,2.47,15.6
Dell,Inspiron 15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,512,True,1.45,13.3
HP,Envy 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,256,True,3.04,17.3
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,512,True,3.37,17.3
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,1024,False,2.92,17.3
Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,1024,False,2.27,15.6
Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,1024,False,2.29,15.6
Dell,XPS 15,Intel Core Ultra 9 15700H,Intel Arc A750M,16,256,False,3.07,17.3
Microsoft,Surface Laptop Studio,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,512,True,1.72,15.6
HP,Spectre x360,Intel i7-14700H,NVIDIA RTX 4060,64,1024,True,2.89,17.3
Lenovo,Yoga Slim 7,Intel i5-14500H,NVIDIA RTX 4050,32,2048,False,1.04,13.3
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,512,False,1.05,13.3
Dell,Inspiron 15,Intel i9-14900HK,NVIDIA RTX 4070,32,4096,True,1.49,14.0
Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,256,False,2.45,15.6
Dell,Inspiron 15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,True,2.5,17.3
Dell,XPS 13,Intel i5-14500H,NVIDIA RTX 3050,32,2048,False,1.95,16.0
Microsoft,Surface Laptop 5,Intel i7-14800H,NVIDIA RTX 4070,32,2048,True,1.91,16.0
Microsoft,Surface Book 3,Intel i7-14700H,NVIDIA RTX 4070,8,4096,False,1.28,14.0
Lenovo,ThinkBook 14s,Intel Core Ultra 9 15700H,Intel Arc A750M,32,1024,True,2.31,15.6
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,2048,False,2.04,16.0
Dell,Alienware M15,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,4096,False,1.33,14.0
Microsoft,Surface Go 3,Intel i5-14500H,NVIDIA RTX 3050,128,256,True,2.97,18.4
Lenovo,Yoga Slim 7,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,16,256,True,2.01,15.6
Microsoft,Surface Go 3,Intel i9-14900HK,NVIDIA RTX 4070,64,2048,True,1.11,14.0
Lenovo,Yoga Slim 7,Intel i5-14600H,NVIDIA RTX 3050,32,256,False,2.31,16.0
Dell,XPS 13,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,256,True,3.32,17.3
Microsoft,Surface Pro 8,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,1024,False,3.31,17.3
Lenovo,ThinkPad X1 Carbon,Intel i5-14500H,Intel Iris Xe,8,2048,True,2.65,17.3
Asus,ZenBook 14,Intel i7-14800H,NVIDIA RTX 4080,64,2048,False,3.05,17.3
HP,Spectre x360,Intel i7-14700H,NVIDIA RTX 4070,16,512,False,1.44,13.3
Asus,ExpertBook B9,Intel i5-14500H,Intel Iris Xe,16,256,True,1.45,14.0
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,2048,True,1.68,16.0
Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,2048,False,1.14,14.0
Lenovo,Yoga Slim 7,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,False,1.23,13.3
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4060,128,1024,False,2.26,15.6
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,2.96,18.4
Microsoft,Surface Laptop Studio,Intel i7-14700H,NVIDIA RTX 4070,64,1024,False,1.12,14.0
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,2048,True,3.01,18.4
Dell,XPS 13,Intel i9-14900HK,NVIDIA RTX 4070,64,256,False,2.46,16.0
Lenovo,Yoga Slim 7,Intel i7-14800H,NVIDIA RTX 4060,64,256,True,2.99,18.4
Microsoft,Surface Pro 8,AMD Ryzen 5 8600H,AMD Radeon 680M,32,4096,True,1.25,14.0
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4080,16,1024,True,1.36,14.0
Dell,XPS 13,Intel i9-14900HK,NVIDIA RTX 4080,64,256,True,1.17,14.0
HP,Pavilion 15,Intel i5-14600H,Intel Iris Xe,64,2048,False,2.3,16.0
Microsoft,Surface Book 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,2048,True,1.12,13.3
Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,256,True,1.02,13.3
HP,Pavilion 15,Intel i9-14900HK,NVIDIA RTX 4070,128,1024,False,1.07,13.3
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,512,True,3.07,18.4
HP,Spectre x360,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,8,256,True,1.51,15.6
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,512,False,1.46,14.0
HP,Pavilion 15,Intel i5-14600H,NVIDIA RTX 3050,128,4096,False,2.51,17.3
Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,64,256,True,1.42,14.0
Microsoft,Surface Laptop 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,2048,False,2.69,17.3
Dell,Inspiron 15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,4096,True,1.58,15.6
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,256,False,2.36,16.0
Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,1.39,14.0
Lenovo,ThinkPad X1 Carbon,Intel i5-14600H,Intel Iris Xe,16,2048,True,2.83,18.4
Dell,Alienware M15,Intel i5-14600H,NVIDIA RTX 3050,32,1024,False,1.37,13.3
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,256,False,2.77,17.3
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4060,128,2048,True,1.09,13.3
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4070,16,256,True,2.52,17.3
Dell,Latitude 7420,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,4096,True,1.4,14.0
Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,512,True,2.89,17.3
Microsoft,Surface Laptop 5,Intel i5-14500H,NVIDIA RTX 3050,64,1024,False,1.87,15.6
Dell,Inspiron 15,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,1.25,13.3
Lenovo,ThinkPad X1 Carbon,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,512,False,2.86,18.4
HP,Spectre x360,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,False,2.7,18.4
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,512,False,2.79,18.4
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,512,False,1.67,16.0
Dell,Inspiron 15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,32,2048,True,2.78,17.3
Lenovo,ThinkPad X1 Carbon,Intel i5-14500H,NVIDIA RTX 4050,128,256,True,2.16,15.6
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,2048,False,2.52,17.3
Microsoft,Surface Go 3,Intel i5-14500H,NVIDIA RTX 4050,16,256,True,1.76,15.6
Microsoft,Surface Go 3,Intel i9-14900HK,NVIDIA RTX 4070,64,4096,False,1.61,16.0
Dell,XPS 15,Intel i7-14700H,NVIDIA RTX 4070,64,4096,True,1.23,13.3
Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4080,32,4096,False,1.17,14.0
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,2048,True,1.76,15.6
Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,4096,False,2.63,18.4
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,2048,True,1.04,14.0
Microsoft,Surface Go 3,Intel i7-14700H,NVIDIA RTX 4060,16,1024,True,1.05,14.0
Microsoft,Surface Pro 8,Intel i5-14600H,NVIDIA RTX 3050,64,4096,False,1.31,14.0
Lenovo,Yoga Slim 7,Intel i5-14600H,NVIDIA RTX 4050,64,512,False,2.33,15.6
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,128,256,False,3.17,18.4
Dell,Alienware M15,Intel i5-14600H,NVIDIA RTX 3050,32,2048,False,1.63,15.6
Lenovo,ThinkPad X1 Carbon,Intel i5-14500H,Intel Iris Xe,8,256,False,1.03,14.0
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,32,512,False,2.99,18.4
Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 3050,128,256,False,1.79,15.6
Microsoft,Surface Laptop Studio,Intel i5-14600H,NVIDIA RTX 3050,8,512,False,1.15,14.0
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,False,1.42,14.0
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,256,True,1.37,13.3
Lenovo,Yoga Slim 7,Intel i5-14600H,NVIDIA RTX 4050,16,1024,False,1.27,14.0
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,256,True,2.62,18.4
Dell,Alienware M15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,8,512,True,1.96,16.0
Microsoft,Surface Book 3,AMD Ryzen 7 8800H,NVIDIA RTX 4070,32,4096,False,3.31,18.4
Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,4096,True,1.89,15.6
Dell,Latitude 7420,Intel Core Ultra 7 15500H,Intel Arc A750M,8,512,True,2.37,15.6
Dell,Alienware M15,AMD Ryzen 5 8600H,AMD Radeon 680M,64,256,True,2.84,18.4
HP,Pavilion 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,4096,True,1.25,13.3
Asus,ExpertBook B9,AMD Ryzen 7 8800H,AMD Radeon 780M,128,4096,False,2.59,17.3
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,512,True,1.95,16.0
Lenovo,ThinkBook 14s,Intel i7-14800H,NVIDIA RTX 4070,128,256,True,1.79,16.0
Lenovo,ThinkBook 14s,Intel i7-14800H,NVIDIA RTX 4070,64,512,False,1.27,14.0
Lenovo,IdeaPad 5,Intel i5-14500H,NVIDIA RTX 4050,8,512,False,1.02,14.0
Dell,XPS 13,Intel i5-14500H,NVIDIA RTX 3050,8,1024,False,1.35,13.3
HP,Pavilion 15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,2048,False,1.18,14.0
HP,EliteBook 840,Intel i5-14600H,NVIDIA RTX 4050,64,4096,False,1.44,13.3
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,True,2.44,15.6
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,512,True,1.37,14.0
Asus,TUF Gaming F15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,4096,False,2.62,17.3
Microsoft,Surface Pro 8,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,512,False,1.03,13.3
Lenovo,Yoga Slim 7,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,4096,False,2.46,16.0
Lenovo,IdeaPad 5,AMD Ryzen 7 8800H,AMD Radeon 780M,64,4096,True,1.05,13.3
Microsoft,Surface Go 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,16,4096,True,2.37,15.6
Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,512,False,3.42,17.3
Asus,TUF Gaming F15,Intel i7-14800H,NVIDIA RTX 4080,16,4096,False,3.04,17.3
HP,Omen 15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,256,True,1.93,16.0
HP,Omen 15,Intel i7-14800H,NVIDIA RTX 4080,128,256,True,1.22,14.0
